latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,wind_speed_10m (km/h),rain (mm)
2025-10-10T00:00,17.0,0.00
2025-10-10T01:00,17.4,0.00
2025-10-10T02:00,15.5,0.00
2025-10-10T03:00,17.7,0.00
2025-10-10T04:00,17.2,0.00
2025-10-10T05:00,15.0,0.00
2025-10-10T06:00,13.7,0.00
2025-10-10T07:00,16.2,0.00
2025-10-10T08:00,16.2,0.00
2025-10-10T09:00,15.1,0.00
2025-10-10T10:00,16.3,0.00
2025-10-10T11:00,17.8,0.00
2025-10-10T12:00,16.2,0.00
2025-10-10T13:00,15.4,0.00
2025-10-10T14:00,15.3,0.00
2025-10-10T15:00,14.4,0.00
2025-10-10T16:00,14.7,0.00
2025-10-10T17:00,14.3,0.00
2025-10-10T18:00,14.4,0.00
2025-10-10T19:00,15.0,0.00
2025-10-10T20:00,12.3,0.00
2025-10-10T21:00,14.6,0.00
2025-10-10T22:00,12.8,0.00
2025-10-10T23:00,14.5,0.00
2025-10-11T00:00,16.0,0.00
2025-10-11T01:00,13.0,0.00
2025-10-11T02:00,13.9,0.00
2025-10-11T03:00,16.0,0.00
2025-10-11T04:00,14.5,0.00
2025-10-11T05:00,16.5,0.00
2025-10-11T06:00,15.8,0.00
2025-10-11T07:00,15.8,0.00
2025-10-11T08:00,16.0,0.00
2025-10-11T09:00,15.3,0.00
2025-10-11T10:00,16.9,0.00
2025-10-11T11:00,16.9,0.00
2025-10-11T12:00,17.5,0.00
2025-10-11T13:00,16.9,0.00
2025-10-11T14:00,14.2,0.00
2025-10-11T15:00,15.5,0.00
2025-10-11T16:00,13.6,0.00
2025-10-11T17:00,10.8,0.00
2025-10-11T18:00,11.7,0.00
2025-10-11T19:00,11.7,0.00
2025-10-11T20:00,11.4,0.00
2025-10-11T21:00,12.6,0.00
2025-10-11T22:00,11.6,0.00
2025-10-11T23:00,12.2,0.00
2025-10-12T00:00,13.3,0.00
2025-10-12T01:00,12.5,0.00
2025-10-12T02:00,12.4,0.00
2025-10-12T03:00,13.4,0.00
2025-10-12T04:00,11.4,0.00
2025-10-12T05:00,12.7,0.00
2025-10-12T06:00,13.6,0.00
2025-10-12T07:00,13.5,0.00
2025-10-12T08:00,15.1,0.00
2025-10-12T09:00,13.4,0.00
2025-10-12T10:00,13.9,0.00
2025-10-12T11:00,14.7,0.00
2025-10-12T12:00,12.3,0.00
2025-10-12T13:00,12.1,0.00
2025-10-12T14:00,11.0,0.00
2025-10-12T15:00,11.7,0.00
2025-10-12T16:00,10.9,0.00
2025-10-12T17:00,11.2,0.00
2025-10-12T18:00,8.2,0.00
2025-10-12T19:00,6.9,0.00
2025-10-12T20:00,6.6,0.00
2025-10-12T21:00,6.4,0.00
2025-10-12T22:00,6.6,0.00
2025-10-12T23:00,5.6,0.00
2025-10-13T00:00,5.6,0.00
2025-10-13T01:00,4.6,0.00
2025-10-13T02:00,5.1,0.00
2025-10-13T03:00,5.6,0.00
2025-10-13T04:00,6.3,0.00
2025-10-13T05:00,7.1,0.00
2025-10-13T06:00,7.5,0.00
2025-10-13T07:00,7.6,0.00
2025-10-13T08:00,6.2,0.00
2025-10-13T09:00,4.6,0.00
2025-10-13T10:00,5.0,0.00
2025-10-13T11:00,4.8,0.00
2025-10-13T12:00,7.2,0.00
2025-10-13T13:00,7.3,0.00
2025-10-13T14:00,8.1,0.00
2025-10-13T15:00,9.1,0.00
2025-10-13T16:00,8.4,0.00
2025-10-13T17:00,7.4,0.00
2025-10-13T18:00,5.6,0.00
2025-10-13T19:00,5.7,0.00
2025-10-13T20:00,5.0,0.00
2025-10-13T21:00,4.4,0.00
2025-10-13T22:00,4.6,0.00
2025-10-13T23:00,4.0,0.00
